duration,protocol_type,service,flag,src_bytes,dst_bytes
6,udp,http,SF,92183,80843
70,udp,ftp,REJ,38576,86198
60,icmp,ftp,REJ,73281,6897
89,tcp,ssh,SF,49870,86992
41,udp,ssh,S0,82129,12147
88,tcp,ssh,SF,3187,86861
1,icmp,ftp,SF,1448,53477
83,udp,http,S0,19210,24711
62,tcp,smtp,REJ,42529,33813
23,tcp,ssh,REJ,95549,97585
65,icmp,smtp,S0,98987,45973
70,icmp,http,REJ,61997,26578
44,udp,smtp,SF,1247,21125
20,udp,smtp,SF,23758,17437
76,tcp,http,S0,35680,1399
20,icmp,smtp,REJ,48404,54553
48,tcp,http,REJ,32717,90961
9,tcp,ftp,SF,26559,89125
59,udp,http,S0,50173,7226
26,tcp,http,REJ,51233,44946
96,udp,smtp,S0,76605,70375
50,tcp,smtp,REJ,72426,26859
88,udp,ssh,S0,42682,39785
74,tcp,smtp,S0,20552,30407
79,udp,ssh,SF,23869,82805
73,tcp,smtp,SF,60503,85575
47,udp,http,REJ,98554,28833
79,icmp,ftp,REJ,32072,65289
94,icmp,smtp,REJ,79032,13358
81,udp,http,S0,11071,19711
45,icmp,http,S0,46946,42510
69,udp,smtp,REJ,31539,12991
89,udp,smtp,S0,95697,56487
21,udp,ftp,SF,62913,58902
44,icmp,smtp,SF,63813,29670
85,udp,ssh,S0,65105,98656
27,tcp,http,SF,8016,94112
5,tcp,ssh,S0,37581,16558
26,tcp,ftp,S0,16501,76738
37,tcp,http,S0,14892,86732
28,tcp,ftp,REJ,59391,40216
73,udp,http,S0,61092,32354
39,udp,http,S0,57931,84570
33,udp,ssh,SF,24003,81759
76,icmp,ftp,S0,44831,14454
87,tcp,smtp,SF,54086,86581
16,tcp,ftp,REJ,50824,43636
26,tcp,http,SF,84742,28177
67,tcp,ftp,S0,19551,79262
18,tcp,ssh,REJ,28284,10847
37,icmp,ftp,REJ,32910,97004
7,udp,http,S0,82151,72830
5,icmp,http,SF,70498,3717
26,udp,ssh,SF,19061,33297
49,tcp,ssh,S0,33267,38477
40,icmp,smtp,REJ,44807,93751
96,udp,http,REJ,62504,4346
94,icmp,ssh,S0,13494,12489
43,tcp,ftp,REJ,19646,14631
82,udp,http,REJ,83529,63298
18,icmp,ssh,SF,20959,60465
16,icmp,smtp,SF,58764,52845
65,icmp,ssh,REJ,12777,61954
89,udp,smtp,SF,35635,15316
19,tcp,smtp,SF,1835,37682
99,tcp,smtp,S0,17149,33497
30,icmp,ftp,S0,8405,50352
17,icmp,smtp,SF,69925,98424
38,udp,ftp,SF,52014,46102
75,tcp,smtp,S0,51807,45044
34,icmp,http,SF,12419,48748
87,tcp,http,S0,35645,64588
60,icmp,ssh,S0,10395,10076
15,icmp,ftp,SF,59519,97489
92,icmp,ssh,SF,10996,2474
55,udp,ftp,SF,27086,32012
20,icmp,http,S0,35317,22574
9,udp,smtp,S0,33548,97120
10,icmp,http,S0,62646,81186
90,icmp,smtp,S0,64473,51730
57,udp,http,REJ,79811,90844
72,udp,smtp,REJ,293,15720
48,tcp,smtp,SF,83951,43781
54,icmp,smtp,SF,3004,12535
99,udp,http,SF,91904,87510
95,tcp,http,S0,51609,44420
64,icmp,smtp,SF,82291,10569
86,icmp,ftp,REJ,16808,4387
28,icmp,smtp,REJ,53346,5830
76,tcp,ftp,REJ,39982,17150
95,icmp,ftp,SF,98376,90072
16,icmp,ftp,REJ,79644,11586
15,icmp,ftp,SF,93474,4947
73,icmp,ftp,REJ,76608,31156
74,udp,http,SF,28226,52936
91,udp,http,S0,36111,10253
29,tcp,ftp,S0,63482,67004
75,tcp,smtp,REJ,52952,60612
91,icmp,smtp,S0,96012,86908
25,udp,http,REJ,99397,38719
