duration,protocol_type,service,flag,src_bytes,dst_bytes
34,icmp,http,SF,7656,4857
46,udp,ssh,REJ,5138,8944
26,tcp,http,REJ,2427,9240
68,tcp,ssh,S0,5378,7343
31,tcp,ftp,S0,4797,5689
16,icmp,ftp,REJ,9121,3958
20,icmp,ftp,REJ,9810,1492
35,icmp,http,S0,9049,2921
41,icmp,ftp,SF,6785,6487
35,icmp,smtp,REJ,5354,8528
27,tcp,ftp,REJ,8321,2214
71,icmp,smtp,S0,9046,7310
26,icmp,http,S0,5114,7567
65,icmp,ftp,SF,1920,2747
61,icmp,ssh,REJ,1279,1635
55,tcp,http,REJ,7424,3656
76,tcp,smtp,REJ,2755,5034
26,tcp,ftp,S0,2836,151
2,icmp,smtp,SF,1301,7992
12,udp,ftp,SF,6918,3667
32,tcp,ssh,REJ,4190,4454
93,icmp,smtp,REJ,2963,4623
96,tcp,ssh,S0,3447,8378
68,tcp,http,REJ,2425,9594
82,icmp,ssh,SF,3834,703
31,tcp,smtp,SF,8993,1835
65,udp,ssh,S0,7131,319
71,icmp,ssh,SF,857,4423
84,icmp,ftp,S0,7859,9230
33,icmp,ssh,SF,8905,3683
94,tcp,smtp,REJ,2612,1821
76,tcp,smtp,REJ,8791,1931
74,tcp,ftp,REJ,8900,3582
85,tcp,ftp,SF,8246,4425
81,udp,ftp,REJ,8030,6677
72,icmp,http,REJ,5974,5328
79,tcp,smtp,REJ,3027,1620
61,udp,ftp,SF,734,1096
93,icmp,smtp,REJ,5952,8023
48,tcp,ftp,S0,4091,3205
72,udp,http,SF,9920,1375
43,tcp,http,SF,5979,793
59,tcp,http,SF,4451,9556
72,icmp,ssh,REJ,8156,5173
50,udp,http,REJ,2993,274
84,tcp,ssh,REJ,8900,8490
7,tcp,smtp,SF,2044,5846
30,tcp,ftp,REJ,5468,9229
97,icmp,ftp,SF,1289,1234
56,icmp,smtp,REJ,1024,7084
34,udp,smtp,SF,9584,865
66,icmp,smtp,S0,8779,8140
59,tcp,http,SF,9200,4403
22,udp,http,REJ,8258,2657
42,icmp,http,SF,8387,5110
25,tcp,smtp,REJ,7371,1907
10,tcp,http,SF,9231,6008
82,tcp,http,REJ,9936,9058
10,tcp,http,REJ,5060,5457
12,udp,smtp,REJ,4311,8622
46,tcp,http,S0,488,5953
27,icmp,http,REJ,2525,2407
33,tcp,smtp,S0,8767,2346
79,udp,ftp,REJ,1524,7086
95,icmp,smtp,S0,2307,683
93,udp,ssh,S0,5859,4353
17,tcp,ftp,SF,3674,4563
61,udp,ssh,REJ,5845,7155
72,tcp,smtp,REJ,3286,1988
56,tcp,ssh,S0,7790,1907
52,tcp,ssh,S0,8489,1239
59,udp,ssh,S0,3154,1368
95,icmp,ftp,SF,5044,9815
72,udp,ftp,REJ,467,6365
89,icmp,smtp,SF,2106,9811
60,udp,smtp,S0,7804,9351
98,tcp,http,S0,5351,7007
50,tcp,ftp,SF,9099,4699
27,tcp,smtp,SF,4222,8620
80,udp,ssh,S0,3247,2250
44,udp,smtp,SF,4895,358
39,tcp,smtp,S0,3445,2373
53,tcp,ssh,REJ,4350,6747
99,icmp,smtp,SF,298,5384
68,tcp,http,SF,9872,9883
81,udp,ssh,S0,5298,9254
68,udp,ftp,S0,5381,9686
18,icmp,ssh,SF,9658,798
33,tcp,http,SF,4640,764
17,icmp,http,S0,844,1649
6,tcp,ftp,REJ,1624,8047
17,tcp,ssh,S0,9356,7324
78,icmp,http,SF,7773,4266
42,tcp,http,S0,8327,4671
15,udp,ftp,REJ,2022,9415
40,udp,http,REJ,4918,223
15,tcp,http,S0,2679,534
27,udp,ftp,S0,3451,8371
80,tcp,ssh,SF,8989,6590
33,icmp,http,S0,3152,5926
